Longitud,Latitud,Promedio
-54.48700,-25.59600,178.40000
-56.52000,-30.40000,157.50000
-55.47600,-30.97500,156.50000
-57.96700,-31.43300,139.50000
-54.18300,-32.35000,94.40000
-56.51700,-32.80000,99.60000
-58.06700,-33.25000,105.90000
-56.50000,-33.35000,92.60000
-57.77100,-34.45600,92.40000
-54.30000,-34.48300,85.70000
-56.03100,-34.83800,85.70000
172.53200,-43.48900,46.20000
147.14500,-43.48920,55.50000
146.27100,-43.65780,75.40000
-176.56700,-43.95000,56.20000
168.33300,-46.41700,85.00000
51.85000,-46.43300,165.70000
37.86700,-46.88300,144.60000
70.25000,-49.35000,56.20000
166.30000,-50.48300,96.00000
-58.44700,-51.82300,44.70000
169.16700,-52.55000,112.90000
158.93700,-54.49900,96.10000
-68.29600,-54.84300,42.60000
-44.73300,-60.73300,84.00000
-58.88300,-62.18300,52.50000
-58.98300,-62.18300,52.10000
-58.63300,-62.23300,43.50000
-59.68300,-62.50000,55.60000
-56.68300,-63.31700,37.40000
-56.98300,-63.40000,36.00000
-64.08300,-64.76600,81.70000
93.01700,-66.55000,18.00000
77.95000,-68.58300,3.50000
76.38300,-69.38300,12.30000
11.83300,-70.76700,9.50000
106.86700,-78.45000,5.20000
